,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,episode_name,episode_show_name,reason_start,reason_end
2512,2021-11-07T00:55:34Z,214586,Lost In Japan - Recorded at Spotify Studios NYC,Shawn Mendes,Spotify Singles,,,appload,trackdone
2513,2021-11-07T00:58:13Z,158279,Meant to Be - Acoustic,Bebe Rexha,Meant to Be,,,trackdone,trackdone
2514,2021-11-07T01:01:16Z,182906,Nothing But a Song - Bonus Acoustic Version,TIAGO IORC,Let Yourself In,,,trackdone,trackdone
2515,2021-11-07T01:05:20Z,243266,Best Part of Me (feat. YEBBA),Ed Sheeran,Best Part of Me (feat. YEBBA),,,trackdone,trackdone
2516,2021-11-07T01:08:23Z,183093,"Us - Recorded at Metropolis Studios, London",James Bay,Spotify Singles,,,trackdone,trackdone
2517,2021-11-07T01:12:00Z,215733,Shallow,Lady Gaga,A Star Is Born Soundtrack,,,trackdone,trackdone
2518,2021-11-07T01:17:07Z,276786,She Will Be Loved - Acoustic,Maroon 5,1.22.03 Acoustic,,,trackdone,trackdone
2519,2021-11-07T01:21:27Z,258937,Primera Cita - Recorded at Electric Lady Studios NYC,CNCO,Spotify Singles,,,trackdone,trackdone
2520,2021-11-07T01:25:15Z,227763,Human Nature - Acoustic,Matt Johnson,Human Nature,,,trackdone,trackdone
2521,2021-11-07T01:29:15Z,239076,"Lover - Recorded at Air Studios, London",Niall Horan,Spotify Singles,,,trackdone,trackdone
2522,2021-11-07T01:32:49Z,214208,Two Commas,Poo Bear,Two Commas,,,trackdone,trackdone
2523,2021-11-07T01:36:51Z,225790,Castle on the Hill - Recorded at Spotify Studios New York City,Ed Sheeran,Spotify Singles,,,trackdone,trackdone
2524,2021-11-07T15:34:11Z,157749,Rise - Acoustic,Jonas Blue,Rise,,,trackdone,logout
2525,2021-11-07T18:15:28Z,232650,Rise - Acoustic,Jonas Blue,Rise,,,appload,trackdone
2526,2021-11-07T18:19:28Z,209741,"New Rules - Piano, Acoustic; Live",Dua Lipa,Live Acoustic EP,,,trackdone,trackdone
2527,2021-11-07T18:22:34Z,185506,Daisies - Acoustic,Katy Perry,Daisies,,,trackdone,trackdone
2528,2021-11-07T18:25:54Z,199237,Arcade - Acoustic Version,Duncan Laurence,Arcade,,,trackdone,trackdone
2529,2021-11-07T18:30:04Z,249535,Grenade - Acoustic,Bruno Mars,The Grenade Sessions,,,trackdone,trackdone
2530,2021-11-07T18:33:32Z,177214,Baby One More Time - Recorded at Spotify Studios New York City,Ed Sheeran,Spotify Singles,,,trackdone,trackdone
2531,2021-11-07T18:37:59Z,266613,Let Her Go (Acoustic Version),Passenger,All the Little Lights (Deluxe),,,trackdone,trackdone
2532,2021-11-07T18:41:53Z,232837,when the party's over - Recorded at Spotify Studios NYC,Lewis Capaldi,Spotify Singles,,,trackdone,trackdone
2533,2021-11-07T18:46:19Z,265652,Every Time You Go Away,Lennon Stella,Spotify Singles,,,trackdone,trackdone
2534,2021-11-07T18:49:05Z,165604,Off,Jake Scott,Off,,,trackdone,trackdone
2535,2021-11-07T18:52:51Z,194884,South of the Border (feat. Camila Cabello) - Acoustic,Ed Sheeran,South of the Border (feat. Camila Cabello),,,trackdone,trackdone
2536,2021-11-07T18:56:03Z,191953,Blue,Elina,Blue,,,trackdone,trackdone
2537,2021-11-07T19:24:38Z,231160,"Burning - Recorded At RAK Studios, London",Sam Smith,Spotify Singles,,,trackdone,trackdone
2538,2021-11-07T19:27:14Z,154990,Sorry Not Sorry,Amanda Yang,Sorry Not Sorry,,,trackdone,trackdone
2539,2021-11-07T19:30:07Z,142177,Only Want You - Live from Spotify Studios NYC,Rita Ora,Spotify Singles,,,trackdone,trackdone
2540,2021-11-07T19:47:50Z,217058,"thank u, next - Recorded At Spotify Studios NYC",Anitta,Spotify Singles,,,trackdone,trackdone
2541,2021-11-07T19:56:50Z,209434,FRIENDS - Acoustic,Marshmello,FRIENDS,,,trackdone,trackdone
2542,2021-11-07T19:59:38Z,167907,bad guy - Recorded at Electric Lady Studios NYC,CNCO,Spotify Singles,,,trackdone,trackdone
2543,2021-11-07T20:04:11Z,242040,I'm Yours,Jason Mraz,Verão Acústico,,,trackdone,trackdone
